Municipios;Distritos;Periodo;Total
 Valencia;1;2022;20.593
 Valencia;2;2022;21.841
 Valencia;3;2022;18.232
 Valencia;4;2022;16.542
 Valencia;5;2022;14.173
 Valencia;6;2022;22.403
 Valencia;7;2022;12.338
 Valencia;8;2022;14.906
 Valencia;9;2022;12.877
 Valencia;10;2022;13.810
 Valencia;11;2022;12.958
 Valencia;12;2022;15.067
 Valencia;13;2022;16.560
 Valencia;14;2022;16.141
 Valencia;15;2022;12.489
 Valencia;16;2022;12.699
 Valencia;17;2022;15.925
 Valencia;18;2022;11.884
 Valencia;19;2022;13.080
